Sl. No.,Cause,Below 14 years - Male,Below 14 years - Female,Below 14 years - Transgender,Below 14 years - Total,14 and Above-Below 18 years - Male,14 and Above-Below 18 years - Female,14 and Above-Below 18 years - Transgender,14 and Above-Below 18 years - Total,18 and Above-Below 30 years - Male,18 and Above-Below 30 years - Female,18 and Above-Below 30 years - Transgender,18 and Above-Below 30 years - Total,30 and Above-Below 45 years - Male,30 and Above-Below 45 years - Female,30 and Above-Below 45 years - Transgender,30 and Above-Below 45 years - Total,45 and Above-Below 60 years - Male,45 and Above-Below 60 years - Female,45 and Above-Below 60 years - Transgender,45 and Above-Below 60 years - Total,60 years & Above - Male,60 years & Above - Female,60 years & Above - Transgender,60 years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total - Total,Percentage Share
1,Avalanche,0,1,0,1,1,0,0,1,3,0,0,3,0,1,0,1,1,0,0,1,1,0,0,1,6,2,0,8,0.1
2,Exposure to cold,16,8,0,24,3,4,0,7,60,7,0,67,134,14,0,148,171,44,0,215,131,26,0,157,515,103,0,618,8.7
3,Cyclone,3,3,0,6,2,1,0,3,29,2,0,31,48,0,0,48,19,2,0,21,4,5,0,9,105,13,0,118,1.7
4,Tornado,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
5,Tsunami,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6,Earthquake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Epidemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Flood,93,67,0,160,49,28,0,77,112,23,0,135,83,25,0,108,68,42,0,110,43,23,0,66,448,208,0,656,9.2
9,Heat/Sun Stroke,10,1,0,11,0,1,0,1,28,8,0,36,76,17,0,93,122,18,0,140,76,17,0,93,312,62,0,374,5.2
10,Landslide,21,13,0,34,21,9,0,30,61,29,0,90,69,37,0,106,45,23,0,68,30,22,0,52,247,133,0,380,5.3
11,Lightning,162,67,0,229,156,46,0,202,508,153,0,661,725,221,0,946,502,140,1,643,165,34,0,199,2218,661,1,2880,40.4
12,Torrential Rain,2,5,0,7,4,1,0,5,7,2,0,9,14,7,0,21,14,4,0,18,3,0,0,3,44,19,0,63,0.9
13,Forest Fire,1,0,0,1,0,0,0,0,5,0,0,5,3,5,0,8,3,3,0,6,1,2,0,3,13,10,0,23,0.3
14,Causes other than above,25,15,0,40,20,16,0,36,111,39,0,150,174,53,1,228,165,50,0,215,1115,220,0,1335,1610,393,1,2004,28.1
15,Total,334,180,0,514,256,106,0,362,924,263,0,1187,1326,381,1,1708,1110,326,1,1437,1569,349,0,1918,5519,1605,2,7126,100
